user_id,product_id,rating,product_name,brand_name,about_item,product_description,breadcrumbs,combined_text,weighted_rating
R199C1DG57O8P6,B07FMX9FSF,5.0,"POLO RALPH LAUREN Men's Slim Fit Cotton Crew Undershirts, 3 Pack",POLO Store,"Length: 29.25in / 74cm, Chest: 41in / 104cm",POLO mens Polo Ralph Lauren Slim Fit Wicking Crew Undershirts 3-pack,"Clothing, Shoes & Jewelry › Men › Clothing › Underwear › Undershirts","polo ralph lauren men's slim fit cotton crew undershirts, 3 pack polo store length: 29.25in / 74cm, chest: 41in / 104cm polo mens polo ralph lauren slim fit wicking crew undershirts 3-pack clothing, shoes & jewelry › men › clothing › underwear › undershirts",4.7881136950904395
R1UFTLDMUCDF0W,B07FMZ31SR,5.0,"POLO RALPH LAUREN Men's Classic Fit Cotton V-Neck Undershirts, 3 Pack",POLO Store,A quality Polo Ralph Lauren staple for your wardrobe essentials.Soft-ribbed cotton fabrication with a body hugging fit.Moisture-wicking fabric for all-day comfort.V-neckline.Short sleeve design.,POLO Mens Classic Fit Cotton V neck Undershirt 3 Pack,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos","polo ralph lauren men's classic fit cotton v-neck undershirts, 3 pack polo store a quality polo ralph lauren staple for your wardrobe essentials.soft-ribbed cotton fabrication with a body hugging fit.moisture-wicking fabric for all-day comfort.v-neckline.short sleeve design. polo mens classic fit cotton v neck undershirt 3 pack clothing, shoes & jewelry › men › clothing › shirts › polos",4.7881136950904395
R12009XIWF7S1B,B07FMZ31SR,5.0,"POLO RALPH LAUREN Men's Classic Fit Cotton V-Neck Undershirts, 3 Pack",POLO Store,A quality Polo Ralph Lauren staple for your wardrobe essentials.Soft-ribbed cotton fabrication with a body hugging fit.Moisture-wicking fabric for all-day comfort.V-neckline.Short sleeve design.,POLO Mens Classic Fit Cotton V neck Undershirt 3 Pack,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos","polo ralph lauren men's classic fit cotton v-neck undershirts, 3 pack polo store a quality polo ralph lauren staple for your wardrobe essentials.soft-ribbed cotton fabrication with a body hugging fit.moisture-wicking fabric for all-day comfort.v-neckline.short sleeve design. polo mens classic fit cotton v neck undershirt 3 pack clothing, shoes & jewelry › men › clothing › shirts › polos",4.7881136950904395
R30F5N17APS8XF,B07FMZ31SR,5.0,"POLO RALPH LAUREN Men's Classic Fit Cotton V-Neck Undershirts, 3 Pack",POLO Store,A quality Polo Ralph Lauren staple for your wardrobe essentials.Soft-ribbed cotton fabrication with a body hugging fit.Moisture-wicking fabric for all-day comfort.V-neckline.Short sleeve design.,POLO Mens Classic Fit Cotton V neck Undershirt 3 Pack,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos","polo ralph lauren men's classic fit cotton v-neck undershirts, 3 pack polo store a quality polo ralph lauren staple for your wardrobe essentials.soft-ribbed cotton fabrication with a body hugging fit.moisture-wicking fabric for all-day comfort.v-neckline.short sleeve design. polo mens classic fit cotton v neck undershirt 3 pack clothing, shoes & jewelry › men › clothing › shirts › polos",4.7881136950904395
R3M1U8JP4SQ93K,B07FMZ31SR,4.0,"POLO RALPH LAUREN Men's Classic Fit Cotton V-Neck Undershirts, 3 Pack",POLO Store,A quality Polo Ralph Lauren staple for your wardrobe essentials.Soft-ribbed cotton fabrication with a body hugging fit.Moisture-wicking fabric for all-day comfort.V-neckline.Short sleeve design.,POLO Mens Classic Fit Cotton V neck Undershirt 3 Pack,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos","polo ralph lauren men's classic fit cotton v-neck undershirts, 3 pack polo store a quality polo ralph lauren staple for your wardrobe essentials.soft-ribbed cotton fabrication with a body hugging fit.moisture-wicking fabric for all-day comfort.v-neckline.short sleeve design. polo mens classic fit cotton v neck undershirt 3 pack clothing, shoes & jewelry › men › clothing › shirts › polos",4.2881136950904395
R2MIKBKBHUA06L,B07FMZ31SR,5.0,"POLO RALPH LAUREN Men's Classic Fit Cotton V-Neck Undershirts, 3 Pack",POLO Store,A quality Polo Ralph Lauren staple for your wardrobe essentials.Soft-ribbed cotton fabrication with a body hugging fit.Moisture-wicking fabric for all-day comfort.V-neckline.Short sleeve design.,POLO Mens Classic Fit Cotton V neck Undershirt 3 Pack,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos","polo ralph lauren men's classic fit cotton v-neck undershirts, 3 pack polo store a quality polo ralph lauren staple for your wardrobe essentials.soft-ribbed cotton fabrication with a body hugging fit.moisture-wicking fabric for all-day comfort.v-neckline.short sleeve design. polo mens classic fit cotton v neck undershirt 3 pack clothing, shoes & jewelry › men › clothing › shirts › polos",4.7881136950904395
R3MQTFRJ7RUYRH,B07FMZ31SR,5.0,"POLO RALPH LAUREN Men's Classic Fit Cotton V-Neck Undershirts, 3 Pack",POLO Store,A quality Polo Ralph Lauren staple for your wardrobe essentials.Soft-ribbed cotton fabrication with a body hugging fit.Moisture-wicking fabric for all-day comfort.V-neckline.Short sleeve design.,POLO Mens Classic Fit Cotton V neck Undershirt 3 Pack,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos","polo ralph lauren men's classic fit cotton v-neck undershirts, 3 pack polo store a quality polo ralph lauren staple for your wardrobe essentials.soft-ribbed cotton fabrication with a body hugging fit.moisture-wicking fabric for all-day comfort.v-neckline.short sleeve design. polo mens classic fit cotton v neck undershirt 3 pack clothing, shoes & jewelry › men › clothing › shirts › polos",4.7881136950904395
R1WXYWQ2PQKI4Z,B07FMZ31SR,5.0,"POLO RALPH LAUREN Men's Classic Fit Cotton V-Neck Undershirts, 3 Pack",POLO Store,A quality Polo Ralph Lauren staple for your wardrobe essentials.Soft-ribbed cotton fabrication with a body hugging fit.Moisture-wicking fabric for all-day comfort.V-neckline.Short sleeve design.,POLO Mens Classic Fit Cotton V neck Undershirt 3 Pack,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos","polo ralph lauren men's classic fit cotton v-neck undershirts, 3 pack polo store a quality polo ralph lauren staple for your wardrobe essentials.soft-ribbed cotton fabrication with a body hugging fit.moisture-wicking fabric for all-day comfort.v-neckline.short sleeve design. polo mens classic fit cotton v neck undershirt 3 pack clothing, shoes & jewelry › men › clothing › shirts › polos",4.7881136950904395
R13E52C7221ZIP,B07FMZ31SR,5.0,"POLO RALPH LAUREN Men's Classic Fit Cotton V-Neck Undershirts, 3 Pack",POLO Store,A quality Polo Ralph Lauren staple for your wardrobe essentials.Soft-ribbed cotton fabrication with a body hugging fit.Moisture-wicking fabric for all-day comfort.V-neckline.Short sleeve design.,POLO Mens Classic Fit Cotton V neck Undershirt 3 Pack,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos","polo ralph lauren men's classic fit cotton v-neck undershirts, 3 pack polo store a quality polo ralph lauren staple for your wardrobe essentials.soft-ribbed cotton fabrication with a body hugging fit.moisture-wicking fabric for all-day comfort.v-neckline.short sleeve design. polo mens classic fit cotton v neck undershirt 3 pack clothing, shoes & jewelry › men › clothing › shirts › polos",4.7881136950904395
R17O55GCHCQYYX,B07FMZ31SR,4.0,"POLO RALPH LAUREN Men's Classic Fit Cotton V-Neck Undershirts, 3 Pack",POLO Store,A quality Polo Ralph Lauren staple for your wardrobe essentials.Soft-ribbed cotton fabrication with a body hugging fit.Moisture-wicking fabric for all-day comfort.V-neckline.Short sleeve design.,POLO Mens Classic Fit Cotton V neck Undershirt 3 Pack,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos","polo ralph lauren men's classic fit cotton v-neck undershirts, 3 pack polo store a quality polo ralph lauren staple for your wardrobe essentials.soft-ribbed cotton fabrication with a body hugging fit.moisture-wicking fabric for all-day comfort.v-neckline.short sleeve design. polo mens classic fit cotton v neck undershirt 3 pack clothing, shoes & jewelry › men › clothing › shirts › polos",4.2881136950904395
